"word","pronounciation","meaning","source","source2","note","gematria"
"A","ah","I, my","EMPM",,,6
"A",,"Un (A)","WE",,,
"A",,"in, with","WE","Holy Table of Practice perimeter",,
"A-",,"with-","WE",,,
"A-BABALOND",,"harlot, (of an)","WE",,,
"A-BAI",,"stooping,(to the); attacking","WE",,,
"A-C-LONDOH",,"kingdom, in thy kingdom","WE",,,
"A-CROODZI",,"beginning, thy beginning","WE",,,
"A-DEUNE",,"across","WE","Liber Loagaeth",,
"A-SOBAM",,"whom, (on)","WE",,,
"AABCO",,"SEPHIROTIC CROSS AIR OF WATER","WE",,,
"AAETPIO",,"Senior MARS of FIRE","WE",,,
"AAI","ah-ahee","within you","EMPM",,,72
"AAI",,"among, among you","WE",,,
"AAIOM",,"among us","WE",,,
"AALA",,"placed you","WE",,,
"AANAA",,"Kerubic Archangel WATER OF FIRE","WE",,,
"AAO",,"AMONG","WE",,,
"AAO",,"AMONG (alt.sp.)","WE",,,
"AAOZAIF",,"Senior JUPITER of AIR","WE",,,
"AAPDOCE",,"Senior VENUS of FIRE","WE",,,
"AB",,"DAUGHTER OF DAUGHTER OF LIGHT","WE",,,
"ABAI","ah-ba-ee","stooping, to stoop down","EMPM",,,77
"ABALPT",,"Sephirotic Cross EARTH OF EARTH","WE",,,
"ABAMO",,"Servient Angel EARTH OF AIR","WE",,,
"ABARAMIG",,"PREPARE","WE",,,
"ABIORO",,"Senior MARS IN AIR TABLET (VAR)","WE",,,
"ABMO",,"Servient Angel EARTH OF AIR","WE",,,
"ABOAPRI",,"SERVE, LET THEM SERVE YOU","WE",,,
"ABOZA",,"Kerubic Archangel AIR OF EARTH","WE",,,
"ABRAASSA","ah-beh-rah-ah-ess-sah","to provide","EMPM",,,143
"ABRAASSA",,"provided","WE",,,
"ABRAMG",,"prepared, i have prepared","WE",,,
"ABRAMIG",,"prepared, are prepared","WE",,,
"ABRIOND",,"PART IN POP","WE",,,
"ACAM",,"7699","WE",,,
"ACAR",,"Servient Angel FIRE OF FIRE","WE",,,
"ACCA",,"Servient Angel FIRE OF AIR","WE",,,
"ACHAPH",,"Augoeides","WE","Liber Loagaeth",,
"ACHOS",,"12 Guardian Angels","WE","Liber Loagaeth",,
"ACO",,"of the holy pentagram","WE","Liber Loagaeth",,
"ACRAR",,"Servient Angel FIRE OF FIRE","WE",,,
"ACUCA",,"Servient Angel FIRE OF AIR","WE",,,
