"gematria","word","pronounciation","meaning",
1,,,,
2,,,,
3,"F","eff","to visit",
4,"D","deh","one third",
5,,,,
6,"A","ah","I, my",
7,,,,
8,"G","geh","not, only",
8,"L","el","first",
9,"T","teh","is, as, like, likeness, equality, equilibrium",
9,"TA","tah","is, as, like, likeness, equality, equilibrium",
9,"ZA","zodah","within",
10,"ATH","ah-teh","works",
10,"ZAH","zodah","inside, inner",
11,,,,
12,,,,
13,"SA","sah","within",
14,"AG","ah-geh","no",
15,"AP","ah-peh","unchanging, same",
15,"TA","tah","is, as, like, likeness, equality, equilibrium","as"
15,"GAH","gah","spirit, spirits",
15,"ZA","zodah","within",
16,"ATH","ah-teh","works",
16,"ZAH","zodah","inside, inner",
17,"ES","ess","one fourth, a quarter",
18,"AFFA","ah-ef-fah","empty",
18,"EL","el","first",
18,"GE","geh","not, only",
18,"TAFA","tah-fah","poison",
19,,,,
20,,,,
21,,,,
22,"BALT","ball-teh","justice",
23,,,,
24,"TAFA","tah-fah","poison",
25,"ASPT","ah-seh-peh-teh","before, in front of",
25,"BESZ","bess-zod","matter",
25,"SALD","sal-deh","wonder",
26,"BAHAL","bah-hall","to shout, to yell, to cry",
27,,,,
28,"BALT","ball-teh","justice",
29,,,,
30,"ADPHAHT","ah-deh-peh-ah-teh","unspeakable",
30,"PAEB","pah-eh-beh","oak",
30,"PASHS","pah-seh-ess","children",
31,"ASPT","ah-seh-peh-teh","before, in front of",
31,"BESZ","bess-zod","matter",
32,,,,
33,"PAGE","pah-geh","to rest",
34,"DO","doh","name",
34,"TOH","toh","triumph",
35,,,,
36,"ADPHAHT","ah-deh-peh-ah-teh","unspeakable",
36,"ELZAP","el-zodah-peh","way, course",
37,,,,
38,"OL","oh-el","to make, maker",
39,"HOL","hoh-el","to measure",
39,"TABGES","tah-beh-gess","a cave",
40,"BABAGE","bah-bah-geh","South",
40,"TOH","toh","triumph",
41,"EFAFAFE","eff-aff-aff-eh","vessels",
41,"HOATH","hoh-ah-teh","true worshipper, devotee",
41,"TOL","toh-el","all, everything",
42,"ELZAP","el-zodah-peh","way, course",
43,,,,
44,"OBZa","oh-beh-zodah","one half, dual",
45,"TABGES","tah-beh-gess","a cave",
46,"GLO","geh-loh","things",
47,"HOATH","hoh-ah-teh","true worshipper, devotee","a cave"
47,"SOE","soh-eh","savior",
47,"TOL","toh-el","all, everything","all"
48,"ELO","el-oh","all",
48,"TALHO","tah-leh-hoh","a cup",
49,,,,
50,"OBZa","oh-beh-zodah","one half, dual",
51,"GOSA","goh-sah","strange",
52,"QAA","quah-ah","creation",
53,"BALTOH","ball-toh","righteous",
54,"TALHO","tah-leh-hoh","a cup","cup"
55,,,,
56,"DODSEH","doh-dess-eh","vexation",
57,"GOSAA","goh-sah-ah","a stranger",
58,"BOGPA","boh-geh-pah","to govern",
59,"BALTOH","ball-toh","righteous",
60,"I","ee","is, is not",
61,,,,
62,,,,
63,"ZEN","zod-en","sacrifice",
64,"ODO","oh-doh","to open",
65,"BI","bee","voice",
66,"ADNA","ah-deh-nah","obedience",
66,"IA","ee-ah","truth",
66,"TOTO","toh-toh","cycles",
67,,,,
68,"IL","ee-el","Aethyr",
69,"GOHO","goh-hoh","to say, to speak",
69,"IP","ee-peh","not",
69,"ZEN","zod-en","sacrifice",
70,"IAD","ee-ah-doh","a god, God",
70,"OADO","oh-ah-doh","to wave",
71,"BIA","bee-ah","voices",
72,"AAI","ah-ahee","within you",
72,"FAFEN","eff-aff-en","to train",
72,"THIL","teh-hee-el","seat","the-hee-el"
