"word","meaning","source","note"
"A","Un (A)",,
"A-","with-",,
"A","in, with","Holy Table of Practice perimeter",
"A-BABALOND","harlot, (of an)",,
"A-BAI","stooping,(to the); attacking",,
"A-C-LONDOH","kingdom, in thy kingdom",,
"A-CROODZI","beginning, thy beginning",,
"A-DEUNE","across","Liber Loagaeth",
"A-SOBAM","whom, (on)",,
"AABCO","SEPHIROTIC CROSS AIR OF WATER",,
"AAETPIO","Senior MARS of FIRE",,
"AAI","among you",,
"AAI","among",,
"AAIOM","among us",,
"AAIOM","among us",,
"AALA","placed you",,
"AANAA","Kerubic Archangel WATER OF FIRE",,
"AAO","AMONG",,
"AAO","AMONG (alt.sp.)",,
"AAOZAIF","Senior JUPITER of AIR",,
"AAPDOCE","Senior VENUS of FIRE",,
"AB","DAUGHTER OF DAUGHTER OF LIGHT",,
"ABALPT","Sephirotic Cross EARTH OF EARTH",,
"ABAMO","Servient Angel EARTH OF AIR",,
"ABARAMIG","PREPARE",,
"ABIORO","Senior MARS IN AIR TABLET (VAR)",,
"ABMO","Servient Angel EARTH OF AIR",,
"ABOAPRI","SERVE, LET THEM SERVE YOU",,
"ABOZA","Kerubic Archangel AIR OF EARTH",,
"ABRAASSA","provided",,
"ABRAMG","prepared, i have prepared",,
"ABRAMG","prepared, i have prepared",,
"ABRAMG","prepared, i have prepared",,
"ABRAMIG","prepared, are prepared",,
"ABRIOND","PART IN POP",,
"ACAM","7699",,
"ACAR","Servient Angel FIRE OF FIRE",,
"ACCA","Servient Angel FIRE OF AIR",,
"AKELE","DAUGHTER OF LIGHT",,
"CHILDAO","diamond, with",,
"ACHAPH","Augoeides","Liber Loagaeth",
"ACHOS","12 Guardian Angels","Liber Loagaeth",
"ACO","of the holy pentagram","Liber Loagaeth",
"ACRAR","Servient Angel FIRE OF FIRE",,
"ACUCA","Servient Angel FIRE OF AIR",,
"ACURTOH","God is triumphant","Liber Loagaeth",
"ACZINOR","Senior JUP of EARTH",,
"AD","in the third, with the third","Liber Loagaeth",
"ADAMH","with hosts of the Lord (stars)","Liber Loagaeth",
"ADAO","in [or] with the third star","Liber Loagaeth",
"ADAPH","Unto (or From) the Lord of Hosts","Liber Loagaeth",
"ADE","in the third is the Daughter of Light","Liber Loagaeth",
"ADEPH","Unto (or From) the Lord of Hosts","Liber Loagaeth",
"ADEPOAD","Within the 3 rd Heaven","Liber Loagaeth",
"ADGMACH","much glory",,
"ADGT","can",,
"ADIN","the Sun of God from the divine","Liber Loagaeth",
"ADIPR","the Sun of God from the 3 rd","Liber Loagaeth",
"ADIRE","Servient Angel FIRE OF FIRE",,
"ADMA","possess the third","Liber Loagaeth",
"ADMO","God is man","Mistake","This word was found accidentally by misconstruing the word DAMO to ADMO. It is not found in Liber Loagaeth."
"ADNA","obedience",,
"ADLPH","among the first to give","Liber Loagaeth",
"ADOEOET","Senior JUPITER of FIRE",,
"ADOIAN","face, the face",,
"ADON","the face (of God)","Liber Loagaeth",
"ADOPA","Kerubic Archangel AIR OF FIRE",,
"ADPHAHT","unspeakable",,
"ADPUN","With strong fire","Liber Loagaeth",
"ADRA","involutes","Liber Loagaeth",
"ADRAMAN","NAME OF AN EVIL SPIRIT",,
"ADRE","Servient Angel FIRE OF FIRE",,
"ADROCH","mount, in the olive mount",,
"ADRPAN","cast down",,
"ADRPHT","casting down (crowley)",,
"ADVORPT","PART IN TEX",,
"AETPIO","Senior MARS of FIRE TABLET",,
"AF","19",,
"AFFA","empty",,
"AFLAFBEN","DEE'S GOOD ANGEL",,
"AG","no, none",,
"AGAN","not the Son of Son of Light","Liber Loagaeth",
"AGEFF","the Trinity (3) manifests","Liber Loagaeth",
"AGEMATOM","the Trinity (3) echoes from the 4 th","Liber Loagaeth",
"AGES","not the 4th","Liber Loagaeth",
"AGGS","the Magus","Liber Loagaeth",
"AGIOD","mortal","Liber Loagaeth",
"AGO","not the fifth","Liber Loagaeth",
"AH","inner/higher self","Liber Loagaeth",
"AHAH","inmost God","Liber Loagaeth",
"AHAOZPI","Senior VENUS of AIR",,
"AHMLICV","Senior MER of EARTH",,
"AIAOAI","Sephirotic Cross EARTH OF AIR",,
"AIDROM","Senior MARS of EARTH TABLET",,
"AIDROPL","governor",,
"AIGRA","Servient Angel AIR OF EARTH",,
"AIRA","Servient Angel AIR OF EARTH",,
"AISRO","PROMISE, THE PROMISE",,
"AHO","in sacred measure","Liber Loagaeth",
"ALA","place",,
"ALAR","settled, have settled",,
"ALCA","judgment (?)",,
"ALDARAIA","will of God (?)",,
"ALDI","gathering, of gathering",,
"ALDON","gathered together (they)",,
"ALDON","gird up",,
"ALDON","gather up",,
"ALGLA","invoke the One","Liber Loagaeth",
"ALHCTGA","Senior VEN of EARTH",,
"ALIDA","one in name with","Liber Loagaeth",
"ALLA","ALLA (a name of God; the naming of God’s will)","Liber Loagaeth",
"ALLAR","bind up",,
"ALNDVOD","Senior LUNA of FIRE",,
"ALOAI","Sephirotic Cross FIRE OF AIR",,
"ALPUDUS","Zodiacal King CANCER",,
"ALPOD","infinite","Liber Loagaeth",
"ALSPLAN","among the angels","Liber Loagaeth",
"AMBRIOL","PART IN LOE",,
"AMCHIH","the Son of Light is with the 9","Liber Loagaeth",
"AMGEDPHA","I begin anew",,
"AMIDAN","fixed to the Son of Son of Light-Mercury","Liber Loagaeth",
"AMIPZI","fastened, I fastened",,
"AMIRAN","yourselves",,
"AMLOX","Servient Angel WATER OF FIRE",,
"AMMA","cursed",,
"AMOX","Servient Angel WATER OF FIRE",,
"AMPHAN","bound by the Son of Light","Liber Loagaeth",
"AMUDAS","wherefore ye are cursed","Liber Loagaeth",
"AN","SON OF SON OF LIGHT, MERCURY","Holy Table of Practice perimeter",
"ANAA","Kerubic Angel WATER OF FIRE",,
"ANAEEM","Sephirotic Cross WATER OF EARTH",,
"ANANAEL","wisdom, of the secret wisdom",,
"ANDISPI","PART IN ZOM",,
"ANETAB","government, in government",,
"ANGE","within the thought [of God]","Liber Loagaeth",
"ANGELARD","thoughts, his thoughts",,
"ANGPOI","Sephirotic Cross AIR OF EARTH",,
"ANODOIN","Senior MERCURY of FIRE",,
"ANOLPHE","the Son of Light","Liber Loagaeth",
"ANBPHO","the Son of Son of Light (Mercury) gives the holy pentagram.","Liber Loagaeth",
"ANS","the Son of Son of Light is the holy pentagram","Liber Loagaeth",
"AOAYNNL","1ST MINISTER OF VENUS",,
"AOIDIAB","6TH MINISTER OF SOL",,
"AOIVEAE","stars, the stars",,
"AOURRZ","Sephirotic Cross FIRE OF AIR",,
"AOZPI","A GOD-NAME OF AIR TABLET",,
"APACHANA","SLIMY THINGS MADE OF DUST",,
"APDOCE","Senior VENUS of FIRE TABLET",,
"APHLAFBEN","DEE'S GOOD ANGEL (alt. sp.)",,
"APHRA","Kerubic Archangel WATER OF",,
"APILA","liveth",,
"APLST","Servient Angel AIR OF FIRE",,
"APST","Servient Angel AIR OF FIRE",,
"AR","that",,
"AR","to fan or winnow",,
"ARBIZ","Sephirotic Cross EARTH OF EARTH",,
"ARCHAD","spread amongst the third","Liber Loagaeth",
"ARCHADS","spread amongst the third is the Daughter of Light","Liber Loagaeth",
"ARCHAS","the Daughter of Light is spread amongst the third","Liber Loagaeth",
"ARDEN","The Universal Mind","Liber Loagaeth",
"ARDOX","fire of dissolution","Liber Loagaeth",
"ARDZA","Sephirotic Cross AIR OF AIR",,
"ARFAOLG","Zodiacal King TAURUS",,
"ARGEDCO","invoke (?)",,
"ARGRASPHE","the Daughter of Daughter of Light becomes Queen of the Moon","Liber Loagaeth",
"ARINNAP","Senior SATURN of FIRE",,
"ARISSO","the mystical marriage","Liber Loagaeth",
"ARN","SECOND AETHYR",,
"ARNI","the Beast","Liber Loagaeth",
"ARP","conquer (?)",,
"ARPHE","descend",,
"ARSETH","wailing in their places","Liber Loagaeth",
"ARSL","A GOD-NAME OF WATER TABLET",,
"ARTH","gladness, of gladness",,
"ARVIN","God’s glory spread out","Liber Loagaeth",
"ARZULGE","NAME OF EVIL SPIRIT",,
"ARXE","for the Daughter of Light","Liber Loagaeth",
"AS","was",,
"ASCHA","God",,
"ASCHEDH","God receives","Liber Loagaeth",
"ASCHIN","the divine will of the holy Son of Light","Liber Loagaeth",
"ASCLAD","Lucifer was the third","Liber Loagaeth",
"ASCLEH","divine will","Liber Loagaeth",
"ASCO","this God","Liber Loagaeth",
"ASYMP","another, with another",,
"ASEV","Reflected, ‘was reflected’","Lamen",
