"key","subkey","enochianLatin","enochianTransliteration","english"
1,1,"OL","Ol","I"
1,2,"SONF","sonf","raygne"
1,3,"VORSG","vorsg,","over you"
1,4,"GOHO","gohó","sayeth"
1,5,"IAD","Iad","the God"
1,6,"BALT","balt","of Justice"
1,7,"LANSH","lansh","in powre exalted"
1,8,"CALZ","calz","above the firmaments"
1,9,"VONPHO","vonpho,","of wrath:"
1,10,"SOBRA","sobra","in Whose"
1,11,"ZOL","z-ol","hands"
1,12,"ROR","ror","the Sonne"
1,13,"I","i","is"
1,14,"TA","ta","as"
1,15,"NAZPSAD","nazpsad","a sword"
1,16,"OD",,"and"
1,17,"GRAA","Graa","the Moon"
1,18,"TA","ta","as"
1,19,"MALPRG","Malprg","a through-trusting fire"
1,20,"DS","ds","which"
1,21,"HOLQ","hol-q","measureth"
1,22,"QAA","Qa-a","your garments"
1,23,"NOTHOA","nothóa","in the mydst"
1,24,"ZIMZ","zimz","of my vestures,"
1,25,"OD","Od","and"
1,26,"COMMAH","commah","trussed you together"
1,27,"TA","ta","as"
1,28,"NOBLOH","nobloh","the palms"
1,29,"ZIEN","zien:","of my hands:"
1,30,"SOBA","Soba","Whose"
1,31,"THIL","thil","seats"
1,32,"GNONP","gnonp","I garnished"
1,33,"PRGE","prge","with the fire"
1,34,"ALDI","aldi","of gathering"
1,35,"DS","Ds","and"
1,36,"URBS","urbs","beautified"
1,37,"OBOLEH","óbóleh","your garments"
1,38,"GRSAM","grsam:","with admiration,"
1,39,"CASARM","Casarm","to whom"
1,40,"OHORELA","ohoréla","I made a law"
1,41,"CABA","cabá","to govern"
1,42,"PIR","pir","the holy ones,"
1,43,"DS","Ds","and"
1,44,"ZONRENSG","zonrensg","delivered you"
1,45,"CAB","cab","a rod"
1,46,"ERM","erm","with"
1,47,"IADNAH","Jadnah:","the ark of knowledge."
1,48,"PILAH","Pilah","Moreover"
1,49,"FARZM","farzm","you lifted up your voyces"
1,50,"OD",,"and"
1,51,"ZNRZA","znrza","sware"
1,52,"ADNA","adna","obedience"
1,53,"OD",,"and"
1,54,"GONO","gono","faith"
1,55,"IADPIL","Iäl","to him"
1,56,"DS","Ds","that"
1,57,"HOM","hom","liveth"
1,58,"OD",,"and"
1,59,"TOH","tóh","triumpeth,"
1,60,"SOBA","Soba","whose"
1,61,"IAOD",,"beginning"
1,62,"IPAM","Ipam","is not"
1,63,"OD",,"nor"
1,64,"UL","Lu","ende"
1,65,"IPAMIS","Ipâmis","can not be,"
1,66,"DS","Ds","which"
1,67,"LOHOLO","lóhólo","shyneth"
1,68,"VEP","dep","as a flame"
1,69,"ZOMD","zomd","in the myddst"
1,70,"POAMAL","Poamal","of your pallace"
1,71,"OD","od","and"
1,72,"SONF","bogpa","rayngneth"
1,73,"AAI","aäl","amongst you"
1,74,"TA","ta","as"
1,75,"PIAP","piap","the ballance"
1,76,"BALTOH","piamos","of righteousnes,"
1,77,"OD","od","and"
1,78,"VAOAN","vaoan","truth:"
1,79,"ZACAR","ZACARe","Move"
1,80,"CA","c-a","therfore,"
1,81,"OD","od","and"
1,82,"ZAMRAN","ZAMRAN","shew yourselves:"
1,83,"ODO","odo","open"
1,84,"CICLE","cicle","the Mysteries"
1,85,"QAA","Qaa","of your Creation:"
1,86,"ZORGE","zorge,","Be friendely unto me:"
1,87,"LAP","lap","for"
1,88,"ZIRDO","zirdo","I am"
1,89,"NOCO","noco","the servant"
1,90,"MAD","MAD","of the same your God:"
1,91,"HOATH","Hoath","the true Worshipper"
1,92,"IAIDA","Jaida.","of the Highest."
2,1,"ADGT",,"Can"
2,2,"UPAAH",,"the wings"
2,3,"ZONG",,"of the windes"
2,4,"OM",,
2,5,"FAAIP",,"understand"
2,6,"SALD",,"your voyces of wonder"
2,7,"VIV",,"O you the second"
2,8,"L",,"of the first,"
2,9,"SOBAM",,"Whome"
2,10,"IALPRG",,"the burning flames"
2,11,"IZAZAZ",,"have framed"
2,12,"PIADPH",,"within the depths of my Jaws,"
2,13,"CASARMA",,"whome"
2,14,"ABRAMG",,"I have prepared"
2,15,"TA",,"as"
2,16,"TALHO",,"Cupps"
2,17,"PARACLEDA",,"for a wedding"
2,18,"Q",,"or"
2,19,"TA",,"as"
2,20,"LORSLQ",,"the flowres"
2,21,"TURBS",,"in their beawty"
2,22,"OOGE",,"for the Chamber"
2,23,"BALTOH",,"of righteousnes"
2,24,"GIUI",,"Stronger"
2,25,"CHIS",,"are"
